VendorID,VendorName,Category,ItemMaterial,UnitPrice,PriceScore,QualityScore,DeliveryScore,ComplaintCount,ReliabilityScore,OnTimeDeliveryRate,ContractValue,VendorScore,RiskLevel
V0001,Alpha IT Systems,IT Equipment,Laptop Computers,236300,84,79,44,9,63,52,80775,67.65,Medium
V0002,TechGlobal Solutions,Office Supplies,Printer Paper,3550,100,78,68,10,62,43,558917,75.5,Medium
V0003,Prime Stationery Traders,Raw Materials,Packaging Materials,3250,95,93,98,3,50,94,4425839,85.1,Low
V0004,Elite Office Solutions,Electrical Items,LED Lighting,14200,71,73,84,7,74,77,4416047,74.1,Medium
V0005,FutureNet Technologies,IT Equipment,Desktop Computers,203500,75,82,43,8,72,59,2897587,68.25,Medium
V0006,ABC Raw Materials,Office Supplies,Stationery,3650,67,72,59,6,66,86,4282492,66.75,Medium
V0007,ABC Raw Materials,Electrical Items,Electrical Cables,3150,63,75,67,9,44,83,2101501,62.2,Medium
V0008,Elite Office Solutions,Logistics Services,Freight Transportation,244600,82,100,62,3,71,87,1564234,80.6,Low
V0009,FutureNet Technologies,Safety Equipment,Safety Helmets,5500,68,50,96,8,74,58,2983335,69.5,Medium
V0010,SmartTech Distributors,Safety Equipment,Protective Gloves,2500,69,76,46,13,48,77,753999,58.55,High
V0011,Prime Stationery Traders,Electrical Items,Switches and Sockets,3450,90,75,96,2,74,46,449847,84.25,Low
V0012,Lanka Industrial Suppliers,Logistics Services,Local Delivery,38750,67,79,70,2,85,99,4576803,76.5,Medium
V0013,Elite Office Solutions,Safety Equipment,Safety Shoes,8100,47,67,87,18,44,94,2366754,55.7,High
V0014,Prime Stationery Traders,Safety Equipment,Fire Extinguishers,27550,99,57,67,11,48,94,3394402,66.5,Medium
V0015,FutureNet Technologies,Office Supplies,Files and Folders,550,51,57,49,4,53,52,2589828,55.4,High
V0016,FutureNet Technologies,Logistics Services,Warehouse Services,41450,54,80,75,18,91,46,4855315,67.7,Medium
V0017,Prime Stationery Traders,Office Supplies,Ink Cartridges,19000,85,47,61,11,91,96,2672619,67.9,Medium
V0018,Alpha IT Systems,Office Supplies,Office Consumables,6750,85,50,95,9,80,40,4866574,74.25,Medium
V0019,Elite Office Solutions,Mechanical Parts,Bearings,37650,69,55,87,16,84,49,3531554,67.2,Medium
V0020,SmartTech Distributors,Mechanical Parts,Machine Components,161700,90,46,77,6,91,66,4538086,74.6,Medium
V0021,Prime Stationery Traders,Furniture,Office Desks,64600,68,65,82,18,75,83,4761368,65.65,Medium
V0022,Lanka Industrial Suppliers,IT Equipment,Network Equipment,34150,49,45,79,6,48,74,2696143,55.9,High
V0023,Alpha IT Systems,Electrical Items,Circuit Breakers,4000,59,96,42,16,70,57,3365946,63.15,Medium
V0024,Lanka Industrial Suppliers,Safety Equipment,Protective Clothing,16300,61,97,59,13,96,72,3953212,74.0,Medium
V0025,TechGlobal Solutions,IT Equipment,Printers,49000,73,70,62,10,68,95,1908472,66.75,Medium
V0026,FutureNet Technologies,IT Equipment,Computer Accessories,9350,83,73,96,7,90,70,483374,82.7,Low
V0027,Elite Office Solutions,Logistics Services,Cargo Handling,5300,61,44,77,20,60,97,2675220,53.65,High
V0028,SmartTech Distributors,Electrical Items,Electrical Components,11150,79,53,71,12,78,66,4230462,66.8,Medium
V0029,Alpha IT Systems,Office Supplies,Printer Paper,5600,95,57,91,16,90,67,3353272,76.2,Medium
V0030,ABC Raw Materials,Mechanical Parts,Gears,5950,41,75,68,4,47,42,3898509,60.0,Medium
V0031,TechGlobal Solutions,Logistics Services,Transport Services,99350,45,58,89,7,63,97,1328716,62.65,Medium
V0032,FutureNet Technologies,Logistics Services,Freight Transportation,114850,52,61,89,9,89,96,2153641,69.35,Medium
V0033,TechGlobal Solutions,Mechanical Parts,Replacement Parts,39050,99,89,84,15,58,95,1581089,77.9,Medium
V0034,SmartTech Distributors,Safety Equipment,Safety Helmets,4500,42,91,44,10,69,59,272578,60.85,Medium
V0035,Elite Office Solutions,Office Supplies,Stationery,3350,95,92,59,20,55,47,1701947,69.55,Medium
V0036,SmartTech Distributors,IT Equipment,Laptop Computers,281250,70,73,70,1,100,57,499424,79.25,Medium
V0037,TechGlobal Solutions,Furniture,Office Chairs,74550,59,90,45,2,43,55,669518,63.85,Medium
V0038,Lanka Industrial Suppliers,Mechanical Parts,Industrial Components,126750,46,45,86,8,67,48,1961767,59.35,High
V0039,TechGlobal Solutions,Furniture,Storage Cabinets,65450,73,73,48,0,66,72,3017483,69.3,Medium
V0040,Alpha IT Systems,Logistics Services,Local Delivery,12600,53,42,100,12,95,71,469408,66.75,Medium
V0041,Digital Edge Suppliers,Raw Materials,Industrial Raw Materials,57350,75,100,80,13,41,46,822578,71.45,Medium
V0042,Prime Stationery Traders,Logistics Services,Warehouse Services,79250,70,67,94,19,97,40,3773802,72.95,Medium
V0043,FutureNet Technologies,Safety Equipment,Protective Gloves,2150,57,89,64,3,70,56,3031103,71.8,Medium
V0044,FutureNet Technologies,Safety Equipment,Safety Shoes,13650,95,41,87,0,57,92,1601351,72.8,Medium
V0045,TechGlobal Solutions,Logistics Services,Cargo Handling,56250,98,68,74,13,99,54,2260585,79.6,Medium
V0046,Prime Stationery Traders,Safety Equipment,Fire Extinguishers,32100,93,72,66,19,64,67,572764,67.75,Medium
V0047,OfficeMart Lanka,Logistics Services,Transport Services,52950,57,49,74,8,93,78,3463718,65.9,Medium
V0048,Lanka Industrial Suppliers,Office Supplies,Files and Folders,800,66,45,62,5,69,87,3518637,61.45,Medium
V0049,TechGlobal Solutions,Safety Equipment,Protective Clothing,6850,80,75,97,0,76,76,3606997,83.35,Low
V0050,Elite Office Solutions,Logistics Services,Freight Transportation,219050,66,94,42,14,89,85,1197571,69.2,Medium
V0051,Lanka Industrial Suppliers,Logistics Services,Local Delivery,40200,74,65,63,20,52,67,3778505,57.75,High
V0052,OfficeMart Lanka,Office Supplies,Ink Cartridges,16700,88,46,99,1,44,99,3330126,71.6,Medium
V0053,TechGlobal Solutions,Mechanical Parts,Bearings,21600,49,61,43,10,73,58,3403164,55.7,High
V0054,SmartTech Distributors,Mechanical Parts,Machine Components,37750,61,54,91,18,57,56,2042810,59.35,High
V0055,Prime Stationery Traders,Raw Materials,Plastic Materials,4600,91,80,68,12,70,94,3015163,74.35,Medium
V0056,Lanka Industrial Suppliers,Logistics Services,Warehouse Services,14600,57,78,62,15,42,52,1596562,57.05,High
V0057,Prime Stationery Traders,IT Equipment,Desktop Computers,229400,95,60,70,12,78,83,105462,72.35,Medium
V0058,Alpha IT Systems,Office Supplies,Office Consumables,4350,53,43,62,2,65,67,306481,58.4,High
V0059,FutureNet Technologies,Mechanical Parts,Gears,5100,75,95,47,6,71,63,2409334,73.1,Medium
V0060,TechGlobal Solutions,Raw Materials,Metal Materials,61050,87,44,99,3,53,64,2742868,71.65,Medium
V0061,TechGlobal Solutions,IT Equipment,Network Equipment,168100,73,90,72,10,86,98,1453851,77.35,Medium
V0062,Elite Office Solutions,Furniture,Meeting Tables,110200,92,70,88,7,86,44,1014025,81.8,Low
V0063,TechGlobal Solutions,Office Supplies,Printer Paper,6300,40,92,47,13,47,59,4775975,55.3,High
V0064,Alpha IT Systems,Electrical Items,LED Lighting,7200,82,54,98,1,79,54,462574,78.9,Medium
V0065,Digital Edge Suppliers,Furniture,Office Furniture,72050,90,62,43,10,83,83,3171280,68.2,Medium
V0066,Elite Office Solutions,Logistics Services,Cargo Handling,63050,71,94,48,7,44,84,1371138,66.15,Medium
V0067,Elite Office Solutions,Raw Materials,Production Materials,87800,83,48,77,18,83,91,4022306,65.75,Medium
V0068,SmartTech Distributors,Raw Materials,Packaging Materials,1850,78,76,48,11,58,100,4711231,64.2,Medium
V0069,TechGlobal Solutions,Furniture,Office Desks,70700,46,44,96,16,94,95,1663618,62.5,Medium
V0070,Prime Stationery Traders,Mechanical Parts,Replacement Parts,78050,48,60,71,7,76,72,3352333,62.9,Medium
V0071,Alpha IT Systems,Furniture,Office Chairs,70800,78,85,69,14,95,59,2898701,76.55,Medium
